id,task1_1,task1_2,task1_3
merge_3542,3,4,5
merge_3543,4,4,4
merge_3543,4,4,4
merge_3544,3,4,3
merge_3544,3,3,4
merge_3544,3,2,3
merge_3546,4,2,4
merge_3546,3,3,4
merge_3546,3,3,3
merge_3546,4,3,4
merge_3546,5,4,4
merge_3546,4,3,3
merge_3549,4,4,4
merge_3549,3,2,2
merge_3549,5,3,4
merge_3555,4,3,4
merge_3555,2,3,3
merge_3555,4,2,3
merge_3556,4,4,3
merge_3556,3,2,3
merge_3556,3,3,4
merge_3558,4,4,4
merge_3558,5,1,4
merge_3558,4,2,4
merge_3561,4,3,3
merge_3561,2,3,4
merge_3561,4,4,4
merge_3564,3,3,3
merge_3564,3,3,3
merge_3564,4,3,4
merge_3565,3,3,4
merge_3565,3,3,4
merge_3565,4,5,4
merge_3565,3,4,4
merge_3565,4,2,3
merge_3568,4,3,3
merge_3568,3,3,4
merge_3568,3,4,4
merge_3568,4,3,4
merge_3568,5,4,4
merge_3568,2,2,3
merge_3569,4,4,4
merge_3569,3,3,4
merge_3569,5,4,5
merge_3569,3,3,3
merge_3569,3,3,4
merge_3569,4,3,4
merge_3571,2,2,3
merge_3571,3,4,3
merge_3571,3,3,4
merge_3574,4,3,4
merge_3574,3,2,2
merge_3574,1,4,5
merge_3575,3,2,4
merge_3575,5,2,4
merge_3575,4,3,4
merge_3578,3,4,3
merge_3578,5,3,3
merge_3578,3,2,3
merge_3578,4,5,5
merge_3578,4,3,4
merge_3578,3,3,4
merge_3581,4,4,4
merge_3581,4,4,4
merge_3581,3,3,4
merge_3582,4,4,5
merge_3582,4,3,4
merge_3582,2,2,2
merge_3583,2,3,4
merge_3583,3,3,4
merge_3583,4,4,4
merge_3583,1,4,4
merge_3583,5,5,5
merge_3583,3,2,4
merge_3586,5,5,5
merge_3586,3,2,4
merge_3586,4,3,4
merge_3590,4,1,5
merge_3590,3,3,3
merge_3590,4,2,4
merge_3590,5,4,4
merge_3590,2,4,3
merge_3590,4,2,4
merge_3592,4,2,4
merge_3592,4,5,4
merge_3592,5,1,4
merge_3595,4,2,4
merge_3595,3,3,4
merge_3595,4,4,4
merge_3596,4,4,5
merge_3596,5,1,5
merge_3596,4,3,4
merge_3599,4,5,4
merge_3599,5,3,4
merge_3599,5,5,5
merge_3601,4,2,4
merge_3601,3,3,3
merge_3601,4,2,4
merge_3602,3,3,3
merge_3602,4,5,4
merge_3602,3,3,4
merge_3605,4,3,4
merge_3605,3,2,4
merge_3605,4,1,5
merge_3608,3,3,4
merge_3608,2,5,4
merge_3608,4,5,4
merge_3608,3,2,2
merge_3608,4,2,3
merge_3608,3,2,4
merge_3608,5,4,4
merge_3608,3,5,2
merge_3608,3,3,3
merge_3609,3,4,2
merge_3609,4,3,4
merge_3609,4,2,2
merge_3617,3,2,2
merge_3617,3,4,4
merge_3617,3,2,3
merge_3619,5,4,4
merge_3619,3,3,3
merge_3619,3,2,3
merge_3619,5,1,4
merge_3619,4,4,5
merge_3619,4,2,3
merge_3621,4,3,4
merge_3621,4,4,4
merge_3621,4,2,3
merge_3623,5,5,5
merge_3623,2,3,4
merge_3623,4,1,5
merge_3626,4,3,4
merge_3626,5,1,4
merge_3626,3,3,4
merge_3631,4,3,4
merge_3631,4,3,4
merge_3631,4,4,4
merge_3632,5,2,5
merge_3632,4,3,4
merge_3632,3,2,3
merge_3632,5,1,5
merge_3632,3,3,3
merge_3632,3,3,3
merge_3632,4,4,4
merge_3632,4,5,5
merge_3632,4,3,4
merge_3637,4,3,3
merge_3637,4,4,4
merge_3637,4,3,4
merge_3638,5,4,4
merge_3638,4,4,4
merge_3641,4,3,3
merge_3641,4,3,4
merge_3641,3,2,3
merge_3641,4,4,4
merge_3641,4,2,4
merge_3641,4,2,4
merge_3641,4,2,3
merge_3641,5,2,5
merge_3641,4,4,3
merge_3642,3,4,3
merge_3642,4,4,5
merge_3642,4,3,4
merge_3642,3,2,3
merge_3642,3,3,2
merge_3642,4,2,3
merge_3643,4,4,2
merge_3643,4,4,2
merge_3643,4,4,3
merge_3643,2,2,3
merge_3643,3,2,4
merge_3643,3,4,3
merge_3643,3,2,4
merge_3643,4,3,4
merge_3643,4,3,4
merge_3644,3,3,3
merge_3644,4,3,4
merge_3644,3,2,3
merge_3645,4,3,4
merge_3645,3,3,3
merge_3645,4,3,4
merge_3648,4,2,4
merge_3648,3,2,4
merge_3648,3,2,4
merge_3649,5,3,4
merge_3649,4,4,4
merge_3649,4,3,4
merge_3650,4,3,3
merge_3650,2,3,3
merge_3650,3,2,3
merge_3653,4,2,4
merge_3653,3,2,2
merge_3653,4,4,4
merge_3653,3,3,3
merge_3653,4,3,4
merge_3653,3,3,2
merge_3657,3,5,3
merge_3657,4,4,5
merge_3657,3,2,3
merge_3657,5,3,4
merge_3658,2,2,2
merge_3658,3,3,4
merge_3658,4,4,4
merge_3662,2,2,4
merge_3662,4,3,4
merge_3662,3,3,3
merge_3666,3,3,4
merge_3666,3,3,4
merge_3666,4,3,4
merge_3670,4,3,4
merge_3670,3,3,4
merge_3670,4,4,3
merge_3674,2,2,4
merge_3674,2,2,2
merge_3674,3,3,3
merge_3678,4,4,4
merge_3678,4,2,4
merge_3678,3,3,3
merge_3678,3,2,4
merge_3678,3,2,4
merge_3678,4,4,4
merge_3681,3,4,4
merge_3681,4,4,4
merge_3681,3,2,4
merge_3682,3,3,4
merge_3682,4,5,4
merge_3682,3,4,4
merge_3685,5,1,5
merge_3685,3,3,4
merge_3685,4,4,5
merge_3692,4,3,4
merge_3692,3,3,3
merge_3692,3,4,3
merge_3694,5,1,5
merge_3694,5,4,3
merge_3694,4,3,4
merge_3694,4,4,3
merge_3695,3,4,3
merge_3695,4,5,4
merge_3695,5,3,4
merge_3702,4,4,4
merge_3702,3,3,4
merge_3702,4,3,4
merge_3704,3,4,4
merge_3704,3,3,2
merge_3704,3,2,3
merge_3705,4,5,5
merge_3705,3,3,4
merge_3705,4,2,2
merge_3707,4,3,4
merge_3707,4,4,4
merge_3707,3,3,3
merge_3708,4,1,4
merge_3708,3,3,4
merge_3708,4,3,2
merge_3709,5,1,4
merge_3709,3,3,3
merge_3709,3,3,4
merge_3710,3,3,3
merge_3710,3,3,4
merge_3710,3,3,3
merge_3714,5,3,3
merge_3714,3,4,3
merge_3714,4,3,4
merge_3714,4,3,4
merge_3714,5,5,5
merge_3714,2,2,2
merge_3715,3,3,4
merge_3715,4,3,4
merge_3715,5,4,5
merge_3715,4,5,4
merge_3715,4,5,4
merge_3715,4,4,4
merge_3717,5,2,3
merge_3717,4,4,5
merge_3717,4,3,4
merge_3720,3,4,3
merge_3720,3,2,3
merge_3720,4,3,3
merge_3720,4,3,4
merge_3721,4,3,4
merge_3721,3,4,4
merge_3721,4,3,4
merge_3721,5,2,2
merge_3721,3,3,3
merge_3721,5,4,4
merge_3726,3,3,4
merge_3726,2,4,3
merge_3726,3,4,3
merge_3733,4,5,5
merge_3733,4,3,4
merge_3733,4,4,3
merge_3734,3,3,3
merge_3734,4,4,4
merge_3734,5,3,4
merge_3735,3,3,4
merge_3735,4,4,5
merge_3735,5,4,5
merge_3736,4,2,3
merge_3736,4,4,5
merge_3736,3,2,4
merge_3737,5,5,4
merge_3737,3,3,3
merge_3737,4,3,4
merge_3741,4,3,4
merge_3741,3,2,4
merge_3741,4,3,4
merge_3744,3,3,3
merge_3744,4,1,4
merge_3744,4,3,3
merge_3744,3,2,3
merge_3745,5,4,4
merge_3745,4,2,3
merge_3745,3,4,3
merge_3747,4,3,4
merge_3747,3,3,3
merge_3747,3,3,3
merge_3755,4,5,5
merge_3755,4,3,4
merge_3755,4,4,4
merge_3757,2,2,3
merge_3757,4,3,4
merge_3757,4,4,3
merge_3758,4,3,4
merge_3758,4,2,4
merge_3758,4,2,4
merge_3761,4,2,4
merge_3761,4,3,4
merge_3761,4,3,4
merge_3761,3,3,3
merge_3761,4,3,4
merge_3761,3,3,4
merge_3761,4,2,4
merge_3761,4,2,3
merge_3761,5,5,5
merge_3762,5,5,4
merge_3762,2,2,3
merge_3762,3,3,4
merge_3762,3,4,4
merge_3762,4,2,4
merge_3762,3,2,3
merge_3763,4,1,4
merge_3763,4,3,4
merge_3763,2,2,2
merge_3767,4,3,4
merge_3767,3,2,4
merge_3767,4,4,4
merge_3768,3,3,4
merge_3768,3,2,4
merge_3768,4,4,4
merge_3769,4,4,4
merge_3769,4,2,4
merge_3769,3,4,3
merge_3779,3,2,2
merge_3779,4,4,5
merge_3779,4,2,3
merge_3783,2,2,3
merge_3783,3,3,3
merge_3783,4,3,4
merge_3783,3,2,2
merge_3783,4,4,4
merge_3783,4,1,5
merge_3785,3,3,4
merge_3785,3,3,4
merge_3785,4,2,4
merge_3785,3,1,4
merge_3785,3,3,3
merge_3785,4,3,4
merge_3786,3,2,4
merge_3786,4,2,4
merge_3786,4,2,3
merge_3791,4,3,4
merge_3791,4,4,4
merge_3791,4,4,4
merge_3792,3,2,4
merge_3792,5,4,5
merge_3792,2,2,2
merge_3799,4,4,5
merge_3799,5,5,3
merge_3799,2,2,3
merge_3799,4,5,4
merge_3799,4,3,4
merge_3799,4,2,5
merge_3806,3,5,5
merge_3806,5,4,4
merge_3806,5,3,4
merge_3806,4,4,4
merge_3806,3,4,4
merge_3806,5,4,3
merge_3806,3,3,3
merge_3810,3,3,3
merge_3810,3,3,3
merge_3810,2,2,3
merge_3819,4,5,4
merge_3819,4,2,4
merge_3819,4,3,3
merge_3821,3,2,3
merge_3821,5,1,4
merge_3821,4,2,3
merge_3821,5,2,4
merge_3821,3,4,3
merge_3821,2,2,2
merge_3821,3,3,4
merge_3821,4,3,4
merge_3821,2,4,3
merge_3823,4,3,4
merge_3823,3,2,4
merge_3823,1,1,1
merge_3825,3,3,3
merge_3825,4,4,4
merge_3825,3,2,4
merge_3826,4,5,4
merge_3826,3,3,4
merge_3826,4,2,3
merge_3827,3,2,4
merge_3827,2,3,3
merge_3827,3,5,4
merge_3829,5,4,4
merge_3829,4,4,5
merge_3829,4,3,4
merge_3833,4,4,3
merge_3833,4,4,4
merge_3833,4,3,4
merge_3835,4,3,4
merge_3835,3,4,4
merge_3835,4,2,4
merge_3843,5,2,5
merge_3843,4,3,4
merge_3843,5,5,5
merge_3845,4,4,4
merge_3845,4,2,3
merge_3845,4,3,3
merge_3845,3,3,4
merge_3845,5,5,5
merge_3847,4,3,4
merge_3847,5,2,4
merge_3847,4,1,4
merge_3850,4,3,4
merge_3850,4,4,4
merge_3850,4,4,4
merge_3853,3,4,4
merge_3853,3,4,3
merge_3853,4,2,4
merge_3855,3,3,4
merge_3855,4,4,4
merge_3855,4,4,4
merge_3858,4,2,3
merge_3858,1,1,1
merge_3858,4,3,3
merge_3859,4,3,4
merge_3859,4,3,3
merge_3859,5,5,5
merge_3864,3,3,4
merge_3864,5,4,5
merge_3864,3,4,4
merge_3869,3,4,3
merge_3869,3,3,4
merge_3869,3,4,4
merge_3873,4,3,4
merge_3873,4,4,3
merge_3873,2,3,3
merge_3874,4,4,4
merge_3874,4,5,4
merge_3874,3,3,4
merge_3877,3,4,3
merge_3877,4,5,4
merge_3877,3,2,4
merge_3882,4,4,4
merge_3882,4,4,3
merge_3882,4,4,4
merge_3884,4,4,5
merge_3884,4,3,4
merge_3884,4,2,3
merge_3884,4,4,4
merge_3884,3,3,4
merge_3884,3,3,4
merge_3890,2,2,3
merge_3890,5,4,4
merge_3890,3,3,3
merge_3892,4,4,3
merge_3892,3,3,3
merge_3892,4,3,5
merge_3895,4,4,4
merge_3895,4,4,4
merge_3895,4,3,4
merge_3896,5,1,5
merge_3896,4,3,4
merge_3896,5,4,4
merge_3897,4,3,4
merge_3897,4,5,5
merge_3897,5,4,4
merge_3898,3,4,3
merge_3898,3,3,2
merge_3898,3,3,4
merge_3903,4,3,4
merge_3903,4,4,4
merge_3903,3,3,3
merge_3906,4,4,4
merge_3906,4,3,4
merge_3906,5,4,4
merge_3909,4,3,4
merge_3909,3,3,3
merge_3909,3,3,4
merge_3909,3,3,2
merge_3909,3,3,3
merge_3909,4,4,4
merge_3910,5,4,4
merge_3910,3,2,4
merge_3910,4,4,4
merge_3911,4,2,3
merge_3911,4,3,3
merge_3911,4,4,4
merge_3915,3,3,4
merge_3915,4,4,4
merge_3915,3,3,3
merge_3921,3,2,4
merge_3921,3,4,4
merge_3921,4,4,4
merge_3922,4,3,4
merge_3922,1,3,3
merge_3922,4,4,4
merge_3924,4,1,5
merge_3924,4,2,4
merge_3924,4,5,4
merge_3925,4,3,4
merge_3925,4,4,4
merge_3925,4,3,4
merge_3926,4,5,5
merge_3926,3,2,3
merge_3926,3,3,4
merge_3926,4,3,4
merge_3926,4,2,4
merge_3926,4,4,4
merge_3927,5,4,5
merge_3927,4,4,4
merge_3927,4,3,4
merge_3929,4,2,3
merge_3929,3,3,3
merge_3929,4,4,4
merge_3932,4,2,4
merge_3932,4,4,3
merge_3932,3,3,3
merge_3932,3,4,4
merge_3932,5,5,4
merge_3932,2,3,3
merge_3934,5,2,5
merge_3934,4,3,3
merge_3934,4,3,4
merge_3936,2,2,4
merge_3936,4,2,4
merge_3936,4,4,4
merge_3942,4,3,4
merge_3942,4,4,4
merge_3942,3,2,4
merge_3943,4,2,3
merge_3943,3,3,4
merge_3943,4,4,4
merge_3949,2,3,4
merge_3949,4,3,3
merge_3949,5,4,4
merge_3951,4,2,4
merge_3951,3,4,4
merge_3951,3,2,4
merge_3953,3,3,3
merge_3953,3,3,4
merge_3953,4,2,2
merge_3959,3,1,3
merge_3959,3,3,3
merge_3959,4,2,4
merge_3961,2,3,4
merge_3961,4,4,5
merge_3961,3,3,3
merge_3964,4,4,4
merge_3964,1,1,1
merge_3964,4,5,4
merge_3968,5,1,5
merge_3968,4,4,3
merge_3968,2,2,3
merge_3969,4,4,4
merge_3969,4,3,4
merge_3969,2,3,4
merge_3972,4,3,4
merge_3972,3,3,4
merge_3972,3,4,3
merge_3972,3,3,3
merge_3972,3,2,3
merge_3972,3,4,4
merge_3972,4,3,4
merge_3972,4,5,3
merge_3972,4,2,4
merge_3976,3,3,4
merge_3976,4,1,5
merge_3976,3,3,3
merge_3985,4,4,3
merge_3985,3,3,4
merge_3985,3,3,3
merge_3988,3,3,4
merge_3988,5,3,4
merge_3988,4,3,3
merge_3988,5,5,5
merge_3988,4,4,4
merge_3991,3,2,2
merge_3991,5,3,5
merge_3991,4,2,4
merge_3993,3,3,4
merge_3993,4,3,4
merge_3993,5,1,4
merge_3998,3,4,3
merge_3998,4,2,4
merge_3998,3,3,3
merge_3999,4,3,4
merge_3999,4,4,4
merge_3999,4,3,4
merge_4002,3,3,4
merge_4002,3,2,4
merge_4002,3,3,3
merge_4008,4,2,4
merge_4008,4,4,4
merge_4008,4,4,4
merge_4008,4,4,4
merge_4008,4,4,3
merge_4008,4,3,4
merge_4011,4,2,3
merge_4011,3,3,3
merge_4011,4,2,4
merge_4011,5,2,4
merge_4011,4,4,5
merge_4011,3,2,2
merge_4012,4,2,2
merge_4012,4,3,4
merge_4012,4,2,4
merge_4013,4,4,4
merge_4013,3,2,3
merge_4013,4,4,5
merge_4016,3,4,4
merge_4016,4,5,4
merge_4016,3,3,4
merge_4020,4,3,4
merge_4020,5,4,3
merge_4020,5,3,4
merge_4021,3,4,3
merge_4021,2,4,2
merge_4021,4,3,4
merge_4024,3,4,4
merge_4024,3,3,4
merge_4024,5,1,5
merge_4026,4,3,2
merge_4026,4,2,4
merge_4026,3,3,2
merge_4027,4,3,4
merge_4027,4,3,4
merge_4027,5,2,3
merge_4028,4,3,4
merge_4028,4,3,3
merge_4028,3,2,2
merge_4028,4,4,4
merge_4028,3,3,3
merge_4028,3,3,4
merge_4029,5,5,5
merge_4029,3,3,3
merge_4029,3,5,4
merge_4030,3,3,4
merge_4030,3,2,2
merge_4030,4,4,4
merge_4032,3,3,3
merge_4032,2,3,4
merge_4032,5,1,5
merge_4033,4,4,4
merge_4033,4,2,3
merge_4033,4,4,4
merge_4034,3,2,2
merge_4034,3,3,4
merge_4034,5,3,5
merge_4035,4,2,4
merge_4035,2,4,3
merge_4035,5,2,5
merge_4036,3,2,3
merge_4036,3,3,3
merge_4036,4,5,4
merge_4038,3,3,3
merge_4038,4,4,4
merge_4038,3,3,4
merge_4039,4,5,4
merge_4039,4,2,3
merge_4039,3,2,3
merge_4045,5,2,3
merge_4045,4,4,4
merge_4045,4,4,3
merge_4047,4,4,5
merge_4047,3,3,3
merge_4047,3,3,4
merge_4051,3,3,3
merge_4051,4,3,3
merge_4051,4,3,3
merge_4062,2,2,3
merge_4062,3,3,4
merge_4062,3,3,3
merge_4064,3,3,3
merge_4064,3,2,4
merge_4064,3,4,3
merge_4064,5,4,4
merge_4064,4,2,3
merge_4064,4,2,3
merge_4065,3,3,3
merge_4065,5,4,4
merge_4065,4,4,4
merge_4065,4,3,4
merge_4065,4,5,4
merge_4065,4,3,4
merge_4066,4,4,4
merge_4066,3,3,3
merge_4066,3,3,4
merge_4069,1,2,3
merge_4069,3,4,4
merge_4069,3,2,5
merge_4072,4,5,3
merge_4072,4,2,3
merge_4072,3,2,4
merge_4078,3,4,4
merge_4078,3,2,3
merge_4078,4,2,3
merge_4079,5,5,5
merge_4079,4,1,4
merge_4079,4,2,3
merge_4079,3,3,3
merge_4080,4,4,3
merge_4080,3,5,3
merge_4083,4,4,3
merge_4083,5,1,5
merge_4083,3,3,3
merge_4084,4,4,4
merge_4084,4,4,5
merge_4084,2,2,2
merge_4084,3,4,3
merge_4084,4,5,4
merge_4084,3,3,3
merge_4084,3,3,4
merge_4084,4,3,4
merge_4084,4,3,4
merge_4085,4,5,4
merge_4085,4,4,5
merge_4085,4,3,4
merge_4089,4,3,4
merge_4089,3,4,4
merge_4089,4,2,3
merge_4089,4,3,4
merge_4089,5,5,5
merge_4089,5,2,3
merge_4090,3,2,4
merge_4090,3,4,3
merge_4090,3,2,3
merge_4092,5,5,5
merge_4092,4,3,4
merge_4092,4,2,4
merge_4093,5,1,5
merge_4093,3,4,3
merge_4093,3,3,4
merge_4094,4,4,4
merge_4094,5,3,4
merge_4094,3,3,4
merge_4099,5,1,5
merge_4099,4,4,4
merge_4099,4,3,3
merge_4099,4,4,4
merge_4099,3,2,3
merge_4099,4,3,4
merge_4100,3,3,4
merge_4100,4,4,4
merge_4100,4,2,3
merge_4107,3,3,3
merge_4107,4,3,4
merge_4107,4,4,4
merge_4107,4,2,3
merge_4107,4,2,3
merge_4107,4,3,3
merge_4112,4,2,3
merge_4112,3,2,4
merge_4112,4,4,4
merge_4112,4,2,4
merge_4112,3,4,3
merge_4112,3,2,2
merge_4113,4,3,4
merge_4113,3,4,5
merge_4113,5,5,5
merge_4118,4,2,4
merge_4118,5,4,5
merge_4118,1,1,1
merge_4120,5,2,4
merge_4120,4,5,4
merge_4120,3,4,3
merge_4121,5,3,4
merge_4121,4,5,4
merge_4121,5,5,4
merge_4125,4,4,4
merge_4125,3,3,2
merge_4126,3,5,5
merge_4126,4,3,4
merge_4126,3,4,3
merge_4129,4,4,3
merge_4129,3,3,3
merge_4129,4,3,4
merge_4129,1,4,2
merge_4129,3,3,3
merge_4129,3,3,4
merge_4131,3,4,4
merge_4131,4,2,2
merge_4131,3,3,4
merge_4131,3,3,4
merge_4131,3,2,4
merge_4131,4,3,4
merge_4132,3,3,4
merge_4132,3,3,3
merge_4132,3,3,3
merge_4133,4,3,4
merge_4133,4,5,4
merge_4133,4,4,4
merge_4136,4,5,4
merge_4136,5,5,5
merge_4136,4,4,4
merge_4136,5,1,4
merge_4136,4,3,4
merge_4136,4,3,4
merge_4136,2,3,3
merge_4137,5,1,4
merge_4137,4,3,4
merge_4137,4,4,4
merge_4140,4,3,5
merge_4140,4,4,4
merge_4140,3,3,4
merge_4141,4,3,4
merge_4141,4,4,5
merge_4141,3,4,3
merge_4143,4,4,4
merge_4143,5,3,2
merge_4143,3,3,4
merge_4144,4,4,4
merge_4144,3,3,4
merge_4144,4,2,4
merge_4145,4,3,4
merge_4145,3,3,3
merge_4145,3,3,4
merge_4145,3,4,5
merge_4145,5,4,4
merge_4145,4,3,4
merge_4150,4,3,4
merge_4150,3,3,3
merge_4150,3,4,4
merge_4150,4,3,4
merge_4150,3,2,3
merge_4150,5,4,4
merge_4151,5,3,4
merge_4151,4,4,3
merge_4151,5,5,5
merge_4159,3,2,4
merge_4159,4,5,4
merge_4159,4,2,3
merge_4161,4,2,4
merge_4161,5,4,4
merge_4161,3,4,3
merge_4162,4,3,4
merge_4162,3,5,4
merge_4162,4,2,4
merge_4164,5,4,4
merge_4164,4,4,4
merge_4164,4,3,4
merge_4165,3,3,3
merge_4165,5,5,5
merge_4165,4,3,4
merge_4166,2,2,3
merge_4166,4,3,4
merge_4166,3,3,3
merge_4169,5,3,4
merge_4169,3,4,4
merge_4169,3,4,3
merge_4171,4,2,4
merge_4171,2,3,2
merge_4171,3,4,2
merge_4172,4,3,4
merge_4172,3,3,4
merge_4172,3,2,3
merge_4173,3,4,3
merge_4173,5,3,4
merge_4173,3,3,4
merge_4179,4,3,4
merge_4179,4,4,4
merge_4179,4,4,4
merge_4184,3,2,2
merge_4184,3,3,4
merge_4184,4,1,4
merge_4190,3,3,4
merge_4190,4,2,4
merge_4190,4,4,4
merge_4190,3,4,3
merge_4190,2,2,4
merge_4190,5,4,5
merge_4192,3,3,4
merge_4192,3,4,3
merge_4192,3,4,4
merge_4195,5,4,4
merge_4195,4,4,4
merge_4195,2,3,4
merge_4196,5,2,3
merge_4196,4,3,4
merge_4196,4,2,5
merge_4204,4,3,4
merge_4204,3,3,3
merge_4204,4,3,4
merge_4210,4,2,3
merge_4210,3,3,4
merge_4210,4,4,4
merge_4214,3,4,3
merge_4214,4,4,5
merge_4214,3,3,4
merge_4222,4,5,5
merge_4222,3,3,3
merge_4222,3,3,4
merge_4223,3,3,4
merge_4223,2,3,3
merge_4223,4,4,4
merge_4224,4,3,4
merge_4224,1,1,4
merge_4224,4,5,5
merge_4226,2,2,1
merge_4226,3,3,3
merge_4226,4,3,4
merge_4228,3,3,4
merge_4228,4,4,3
merge_4228,4,3,5
merge_4228,3,2,4
merge_4228,5,4,4
merge_4228,4,3,4
merge_4232,3,3,4
merge_4232,2,3,3
merge_4232,4,2,4
merge_4234,4,1,4
merge_4234,5,3,4
merge_4234,4,3,4
merge_4234,3,2,2
merge_4234,3,3,3
merge_4234,4,4,3
merge_4236,4,4,4
merge_4236,4,4,4
merge_4236,3,3,3
merge_4236,5,1,5
merge_4236,4,2,4
merge_4236,3,4,3
merge_4236,5,2,5
merge_4236,4,5,5
merge_4236,3,3,4
merge_4236,4,3,4
merge_4236,3,3,2
merge_4241,4,2,3
merge_4241,3,4,4
merge_4241,3,4,3
merge_4241,3,4,3
merge_4241,4,2,3
merge_4241,3,4,3
merge_4242,3,3,4
merge_4242,4,2,3
merge_4242,4,4,3
merge_4243,2,3,4
merge_4243,4,4,4
merge_4243,3,1,4
merge_4246,4,1,4
merge_4246,2,3,3
merge_4246,4,2,4
merge_4247,3,4,4
merge_4247,4,3,4
merge_4247,4,3,4
merge_4247,4,1,4
merge_4247,3,3,3
merge_4247,5,3,5
merge_4248,3,5,3
merge_4248,4,2,2
merge_4248,3,3,3
merge_4250,3,1,2
merge_4250,3,3,4
merge_4250,4,4,4
merge_4252,3,3,3
merge_4252,3,4,3
merge_4252,4,3,2
merge_4254,3,3,4
merge_4254,4,4,4
merge_4254,5,3,4
merge_4255,5,1,4
merge_4255,4,4,4
merge_4255,5,3,4
merge_4256,4,2,4
merge_4256,3,3,4
merge_4256,2,3,2
merge_4260,3,3,3
merge_4260,5,4,4
merge_4260,4,3,4
merge_4261,4,3,3
merge_4261,2,3,4
merge_4261,5,4,3
merge_4262,4,4,4
merge_4262,5,1,4
merge_4262,4,3,4
merge_4263,4,3,4
merge_4263,4,4,4
merge_4263,3,4,3
merge_4267,2,2,2
merge_4267,2,2,2
merge_4267,3,2,3
merge_4268,3,2,2
merge_4268,2,2,3
merge_4268,5,5,5
merge_4270,4,3,4
merge_4270,3,3,3
merge_4270,2,3,4
merge_4273,4,4,2
merge_4273,3,4,3
merge_4273,4,2,3
merge_4273,4,1,4
merge_4276,4,2,3
merge_4276,4,4,5
merge_4276,4,3,3
merge_4281,3,3,4
merge_4281,4,3,3
merge_4281,4,4,4
merge_4284,4,4,3
merge_4284,3,4,4
merge_4284,5,1,4
merge_4287,4,3,4
merge_4287,4,3,4
merge_4287,4,4,4
merge_4290,3,3,3
merge_4290,5,1,5
merge_4290,3,3,4
merge_4292,4,4,4
merge_4292,4,3,4
merge_4292,3,3,4
merge_4293,3,3,4
merge_4293,3,2,4
merge_4293,3,4,4
merge_4294,2,4,3
merge_4294,4,4,4
merge_4294,2,2,3
merge_4300,4,1,4
merge_4300,5,1,5
merge_4300,4,2,3
merge_4301,3,3,4
merge_4301,3,3,4
merge_4301,4,4,4
merge_4305,3,3,3
merge_4305,4,3,4
merge_4305,4,1,4
merge_4305,4,3,4
merge_4308,3,4,4
merge_4308,4,4,4
merge_4308,3,3,4
merge_4310,3,4,4
merge_4310,3,4,3
merge_4310,3,2,3
merge_4313,4,2,4
merge_4313,3,3,3
merge_4313,4,4,4
merge_4321,3,3,3
merge_4321,4,4,3
merge_4321,3,3,4
merge_4323,4,4,4
merge_4323,3,3,4
merge_4323,3,4,4
merge_4323,3,4,4
merge_4323,4,3,4
merge_4323,4,4,4
merge_4323,3,3,4
merge_4323,3,3,3
merge_4323,3,4,3
merge_4324,4,3,4
merge_4324,3,3,3
merge_4324,4,4,3
merge_4325,4,5,4
merge_4325,4,2,4
merge_4325,3,2,3
merge_4326,4,5,4
merge_4326,3,4,3
merge_4326,3,3,4
merge_4327,4,5,4
merge_4327,4,2,5
merge_4327,3,3,4
merge_4329,5,4,4
merge_4329,4,4,4
merge_4329,3,2,3
merge_4330,3,3,4
merge_4330,4,4,3
merge_4330,3,3,3
merge_4332,3,3,4
merge_4332,2,2,4
merge_4332,5,4,3
merge_4332,5,4,4
merge_4332,4,2,2
merge_4332,5,4,4
merge_4332,3,2,4
merge_4332,4,4,4
merge_4332,4,3,4
merge_4334,3,4,4
merge_4334,4,3,4
merge_4334,4,4,4
merge_4335,2,3,4
merge_4335,4,4,4
merge_4335,5,5,5
merge_4338,4,4,4
merge_4338,4,4,4
merge_4338,3,3,4
merge_4343,3,3,4
merge_4343,3,3,3
merge_4343,3,3,4
merge_4343,4,2,3
merge_4343,4,4,5
merge_4343,4,4,4
merge_4346,2,2,3
merge_4346,4,3,3
merge_4346,4,3,3
merge_4347,2,4,4
merge_4347,4,1,4
merge_4347,4,3,4
merge_4350,4,3,4
merge_4350,3,3,4
merge_4350,3,3,3
merge_4355,4,4,3
merge_4355,4,2,4
merge_4355,4,3,3
merge_4356,3,2,4
merge_4356,4,4,4
merge_4356,2,3,3
merge_4360,4,4,5
merge_4360,2,3,4
merge_4360,3,4,3
merge_4364,4,4,4
merge_4364,3,3,4
merge_4364,4,3,3
merge_4365,4,4,4
merge_4365,4,3,3
merge_4365,3,3,4
merge_4369,4,3,4
merge_4369,3,4,2
merge_4369,3,4,4
merge_4371,4,3,4
merge_4371,3,3,3
merge_4371,1,1,4
merge_4371,3,4,3
merge_4371,5,4,5
merge_4371,3,3,4
merge_4375,5,2,4
merge_4375,3,2,4
merge_4375,4,4,4
merge_4376,3,4,3
merge_4376,4,5,4
merge_4376,4,3,4
merge_4380,3,2,4
merge_4380,4,2,3
merge_4380,3,4,3
merge_4381,4,3,4
merge_4381,4,3,4
merge_4381,3,3,5
merge_4383,3,3,4
merge_4383,5,4,4
merge_4383,4,2,3
merge_4383,4,4,4
merge_4384,5,1,5
merge_4384,4,4,4
merge_4384,4,3,4
merge_4385,4,3,4
